brand_name,model_name,variant_name,variant_slug,variant_url,price,fuel_type,transmission,engine,mileage,power,torque,seating_capacity,airbags,body_type,data_source,source_url,scraped_at
Audi,Q3,40 Tfsi Technology,40-tfsi-technology,https://www.carwale.com/audi-cars/q3/40-tfsi-technology/,Rs. 53.00 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,188 bhp,320 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q3/40-tfsi-technology/,2026-06-15 17:45:01
Audi,A4,Premium 40 Tfsi,premium-40-tfsi,https://www.carwale.com/audi-cars/a4/premium-40-tfsi/,Rs. 46.88 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",18.0 kmpl,201 bhp,320 Nm,5,8,Coupe,carwale+cardekho,https://www.carwale.com/audi-cars/a4/premium-40-tfsi/,2026-06-15 17:45:08
Audi,A4,Premium Plus 40 Tfsi,premium-plus-40-tfsi,https://www.carwale.com/audi-cars/a4/premium-plus-40-tfsi/,Rs. 51.85 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",17.0 kmpl,201 bhp,320 Nm,5,8,Coupe,carwale+cardekho,https://www.carwale.com/audi-cars/a4/premium-plus-40-tfsi/,2026-06-15 17:45:12
Audi,A4,Signature Edition,signature-edition,https://www.carwale.com/audi-cars/a4/signature-edition/,Rs. 54.02 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",16.0 kmpl,201 bhp,320 Nm,5,8,Coupe,carwale+cardekho,https://www.carwale.com/audi-cars/a4/signature-edition/,2026-06-15 17:45:16
Audi,A4,Technology 40 Tfsi,technology-40-tfsi,https://www.carwale.com/audi-cars/a4/technology-40-tfsi/,Rs. 55.83 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",16.0 kmpl,201 bhp,320 Nm,5,8,Coupe,carwale+cardekho,https://www.carwale.com/audi-cars/a4/technology-40-tfsi/,2026-06-15 17:45:21
Audi,Q8,55 Tfsi Quattro,55-tfsi-quattro,https://www.carwale.com/audi-cars/q8/55-tfsi-quattro/,Rs. 1.15 Crore,Petrol,Automatic,"2995 cc, 6 Cylinders In V Shape",,335 bhp,500 Nm,5,8,SUV,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q8/55-tfsi-quattro/,2026-06-15 17:45:27
Audi,Q7,Premium Plus,premium-plus,https://www.carwale.com/audi-cars/q7/premium-plus/,Rs. 1.15 Crore,Petrol,Automatic,"2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,335 bhp,500 Nm,7,8,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q7/premium-plus/,2026-06-15 17:45:33
Audi,Q7,Bold Edition,bold-edition,https://www.carwale.com/audi-cars/q7/bold-edition/,Rs. 1.15 Crore,Petrol,Automatic,"2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,335 bhp,500 Nm,7,8,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q7/bold-edition/,2026-06-15 17:45:37
Audi,Q7,Signature Edition,signature-edition,https://www.carwale.com/audi-cars/q7/signature-edition/,Rs. 1.15 Crore,Petrol,Automatic,"2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,335 bhp,500 Nm,7,8,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q7/signature-edition/,2026-06-15 17:45:41
Audi,Q7,Technology,technology,https://www.carwale.com/audi-cars/q7/technology/,Rs. 1.15 Crore,Petrol,Automatic,"2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",,335 bhp,500 Nm,7,8,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q7/technology/,2026-06-15 17:45:45
Audi,A6,Premium Plus 45 Tfsi,premium-plus-45-tfsi,https://www.carwale.com/audi-cars/a6/premium-plus-45-tfsi/,Rs. 64.81 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",15.0 kmpl,261 bhp,370 Nm,5,6,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/a6/premium-plus-45-tfsi/,2026-06-15 17:45:52
Audi,A6,Technology 45 Tfsi,technology-45-tfsi,https://www.carwale.com/audi-cars/a6/technology-45-tfsi/,Rs. 71.66 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",14.25 kmpl,261 bhp,370 Nm,5,6,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/a6/technology-45-tfsi/,2026-06-15 17:45:56
Audi,Rs5,Sportback,sportback,https://www.carwale.com/audi-cars/rs5/sportback/,Rs. 1.07 Crore,Petrol,Automatic,"2894 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",8.45 kmpl,444 bhp,600 Nm,4,6,Coupe,carwale+cardekho,https://www.carwale.com/audi-cars/rs5/sportback/,2026-06-15 17:46:02
Audi,Q5,Premium Plus 45 Tfsi,premium-plus-45-tfsi,https://www.carwale.com/audi-cars/q5/premium-plus-45-tfsi/,Rs. 65.55 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,261 bhp,370 Nm,5,8,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q5/premium-plus-45-tfsi/,2026-06-15 17:46:08
Audi,Q5,Bold Edition,bold-edition,https://www.carwale.com/audi-cars/q5/bold-edition/,Rs. 69.80 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,261 bhp,370 Nm,5,8,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q5/bold-edition/,2026-06-15 17:46:13
Audi,Q5,Signature Edition,signature-edition,https://www.carwale.com/audi-cars/q5/signature-edition/,Rs. 69.86 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,261 bhp,370 Nm,5,8,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q5/signature-edition/,2026-06-15 17:46:17
Audi,Q5,Technology 45 Tfsi,technology-45-tfsi,https://www.carwale.com/audi-cars/q5/technology-45-tfsi/,Rs. 70.73 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,261 bhp,370 Nm,5,8,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q5/technology-45-tfsi/,2026-06-15 17:46:21
Audi,S5 Sportback,30 Tfsi Quattro,30-tfsi-quattro,https://www.carwale.com/audi-cars/s5-sportback/30-tfsi-quattro/,Rs. 1.07 Crore,Petrol,Automatic,"2994 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",10.0 kmpl,349 bhp,500 Nm,5,10,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/s5-sportback/30-tfsi-quattro/,2026-06-15 17:46:27
Audi,S5 Sportback,Platinum Edition,platinum-edition,https://www.carwale.com/audi-cars/s5-sportback/platinum-edition/,Rs. 1.07 Crore,Petrol,Automatic,"2994 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",10.5 kmpl,349 bhp,500 Nm,5,10,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/s5-sportback/platinum-edition/,2026-06-15 17:46:31
Audi,Q3 Sportback,Signature Edition,signature-edition,https://www.carwale.com/audi-cars/q3-sportback/signature-edition/,Rs. 53.55 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,193 bhp,320 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q3-sportback/signature-edition/,2026-06-15 17:46:38
Audi,Q3 Sportback,Bold Edition,bold-edition,https://www.carwale.com/audi-cars/q3-sportback/bold-edition/,Rs. 53.85 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,193 bhp,320 Nm,5,6,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q3-sportback/bold-edition/,2026-06-15 17:46:42
Audi,Q3 Sportback,Technology Plus S Line,technology-plus-s-line,https://www.carwale.com/audi-cars/q3-sportback/technology-plus-s-line/,Rs. 54.25 Lakh,Petrol,Automatic,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",,193 bhp,320 Nm,5,6,,carwale+cardekho(partial),https://www.carwale.com/audi-cars/q3-sportback/technology-plus-s-line/,2026-06-15 17:46:46
Audi,E Tron Gt,S,s,https://www.carwale.com/audi-cars/e-tron-gt/s/,Rs. 1.72 Crore,Electric,Automatic,,,522.99bhp,630 Nm,5,7,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/e-tron-gt/s/,2026-06-15 17:46:52
Audi,E Tron Gt,Rs,rs,https://www.carwale.com/audi-cars/e-tron-gt/rs/,Rs. 1.95 Crore,Electric,Automatic,,,522.99bhp,830 Nm,5,7,Coupe,carwale+cardekho(partial),https://www.carwale.com/audi-cars/e-tron-gt/rs/,2026-06-15 17:46:56
Audi,Rs Q8 Performance,40L Tfsi,40l-tfsi,https://www.carwale.com/audi-cars/rs-q8-performance/40l-tfsi/,Rs. 2.38 Crore,Petrol,Automatic,"3996 cc, 8 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",9.0 kmpl,648 bhp,850 Nm,7,8,SUV,carwale+cardekho,https://www.carwale.com/audi-cars/rs-q8-performance/40l-tfsi/,2026-06-15 17:47:02
